Date,Channel,Visitors,Leads,Customers,Revenue,MarketingSpend
2024-01-24,Direct,847,105,19,2410.25121472762,0.0
2024-01-25,Organic Search,1504,146,22,2512.153496378597,0.0
2024-01-25,Paid Ads,2715,476,39,4594.3886155008,5375.083350709409
2024-01-25,Social Media,1380,73,7,756.2384806408445,1076.193739786203
2024-01-25,Email Referral,556,154,42,4368.490865889448,0.0
2024-01-25,Direct,524,78,14,1678.498919332019,0.0
2024-01-26,Organic Search,1336,158,30,4225.60810642392,0.0
2024-01-26,Paid Ads,2210,434,41,5271.806013413295,2033.1306954838421
2024-01-26,Social Media,1640,119,13,1576.533685100671,2068.7215315637595
2024-01-26,Email Referral,454,141,41,4416.443566312115,0.0
2024-01-26,Direct,853,105,22,2257.0058905046694,0.0
2024-01-27,Organic Search,1027,84,16,1857.8830759797784,0.0
2024-01-27,Paid Ads,2346,484,30,4140.34178983453,3269.052728199004
2024-01-27,Social Media,1058,63,9,1334.2621097999306,726.2596936715595
2024-01-27,Email Referral,420,135,52,5372.890295153622,0.0
2024-01-27,Direct,973,138,26,3633.8475054178575,0.0
2024-01-28,Organic Search,1516,133,21,2272.4790878275426,0.0
2024-01-28,Paid Ads,2717,507,34,4067.1566826184803,4686.551015566412
2024-01-28,Social Media,2110,133,15,1726.0334056231065,3421.183688257835
2024-01-28,Email Referral,341,115,35,5086.326194187957,0.0
2024-01-28,Direct,902,118,22,3233.8153359748226,0.0
2024-01-29,Organic Search,904,77,14,1834.0509291499593,0.0
2024-01-29,Paid Ads,2957,553,52,5594.354687305153,2861.143231707154
2024-01-29,Social Media,2049,104,13,1869.8976638951372,2075.8882546783416
2024-01-29,Email Referral,414,137,36,3829.4795921975683,0.0
2024-01-29,Direct,1093,117,22,2994.4778252323727,0.0
2024-01-30,Organic Search,1111,120,21,2828.645866690455,0.0
2024-01-30,Paid Ads,1847,321,18,2325.0526152895086,2034.0588501436644
2024-01-30,Social Media,1884,120,17,2198.295357214278,2371.6414065275007
2024-01-30,Email Referral,479,161,62,8359.617554018365,0.0
2024-01-30,Direct,907,132,30,3228.808564371392,0.0
2024-01-31,Organic Search,1576,152,28,4108.113820676621,0.0
2024-01-31,Paid Ads,3038,652,47,7014.376817561486,5341.858579934122
2024-01-31,Social Media,1816,123,14,1634.6380691521306,3094.972793980983
2024-01-31,Email Referral,609,152,45,5709.140106610326,0.0
2024-01-31,Direct,865,101,23,2820.050632023278,0.0
2024-02-01,Organic Search,1325,117,20,2140.8570203798,0.0
2024-02-01,Paid Ads,2497,447,42,5419.235535583891,3616.6458904026013
2024-02-01,Social Media,1404,70,9,1332.4816428612548,1015.0837046480559
2024-02-01,Email Referral,420,146,47,4857.629721862804,0.0
2024-02-01,Direct,875,120,23,3332.762432856821,0.0
2024-02-02,Organic Search,1085,88,15,1923.6308499469624,0.0
2024-02-02,Paid Ads,2281,352,31,3912.804917457749,2648.569738649148
2024-02-02,Social Media,2173,118,12,1767.6692772801798,2303.3017164138546
2024-02-02,Email Referral,292,80,27,2734.2715801414656,0.0
2024-02-02,Direct,972,129,23,2555.2679862228915,0.0
2024-02-03,Organic Search,1045,93,17,1716.7539570912095,0.0
2024-02-03,Paid Ads,2539,412,34,3569.0503676908866,2195.621289421421
2024-02-03,Social Media,1760,126,17,2037.6060001756866,2643.744760546506
2024-02-03,Email Referral,434,147,37,4084.5895720201506,0.0
2024-02-03,Direct,759,76,14,1808.1290926787847,0.0
2024-02-04,Organic Search,1384,155,25,2824.2792917891156,0.0
2024-02-04,Paid Ads,2426,428,34,4461.053143343527,2702.8490023239237
2024-02-04,Social Media,1175,69,10,1070.0565878832263,2118.174807520071
2024-02-04,Email Referral,669,199,76,9215.811316983087,0.0
2024-02-04,Direct,1223,138,26,3685.4093078390893,0.0
2024-02-05,Organic Search,1334,159,28,3040.351000187625,0.0
2024-02-05,Paid Ads,1848,348,28,3088.9897804648444,954.4804370413079
2024-02-05,Social Media,1965,106,15,1948.0598266277314,2752.5234461281934
2024-02-05,Email Referral,399,136,42,5289.727181093959,0.0
2024-02-05,Direct,976,99,18,2464.230254783733,0.0
2024-02-06,Organic Search,1237,111,18,2059.82436309363,0.0
2024-02-06,Paid Ads,2197,384,33,4234.56765648988,2667.324100447133
2024-02-06,Social Media,1947,140,15,1696.6980332248686,2711.425096610094
2024-02-06,Email Referral,518,132,42,4901.912170715618,0.0
2024-02-06,Direct,847,87,20,2495.4913162061985,0.0
2024-02-07,Organic Search,1248,134,23,2583.3623382249725,0.0
2024-02-07,Paid Ads,2699,536,34,4013.6556247980457,1720.2700238628784
2024-02-07,Social Media,1959,151,16,1956.8046183663646,1523.513111392284
2024-02-07,Email Referral,606,195,72,9692.195632264269,0.0
2024-02-07,Direct,917,130,25,3111.781204553926,0.0
2024-02-08,Organic Search,1285,112,19,2769.7138827086396,0.0
2024-02-08,Paid Ads,2583,393,33,4825.253722371275,5053.8651708932175
2024-02-08,Social Media,1788,135,19,2687.4697004431437,993.2544763069512
2024-02-08,Email Referral,568,175,49,5088.5353439915625,0.0
2024-02-08,Direct,743,101,18,2083.7613040475494,0.0
2024-02-09,Organic Search,1455,147,27,3130.3158789582944,0.0
2024-02-09,Paid Ads,2847,549,33,4735.663141936535,1514.331019036578
2024-02-09,Social Media,1884,143,18,2518.904912196299,3762.1617963672115
2024-02-09,Email Referral,622,180,57,8189.979775431065,0.0
2024-02-09,Direct,797,118,27,3263.985155925901,0.0
2024-02-10,Organic Search,1515,135,20,2354.6221576407765,0.0
2024-02-10,Paid Ads,2290,389,25,2552.6164870454522,1206.3969658092765
2024-02-10,Social Media,1789,110,14,2064.972828765158,3004.656846184134
2024-02-10,Email Referral,523,135,42,6183.937246811961,0.0
2024-02-10,Direct,1246,135,33,3682.258307282682,0.0
2024-02-11,Organic Search,1067,125,22,2868.5104743667453,0.0
2024-02-11,Paid Ads,1872,303,18,2501.6260262100777,1919.151727740178
2024-02-11,Social Media,1822,94,13,1903.0389840768883,3630.0830792927077
2024-02-11,Email Referral,462,150,53,7461.957781225137,0.0
2024-02-11,Direct,723,80,15,1902.7308171700602,0.0
2024-02-12,Organic Search,1509,126,24,2718.7200511064475,0.0
2024-02-12,Paid Ads,3218,511,48,6869.106281437082,5516.534092696987
2024-02-12,Social Media,1997,105,12,1355.8522702561957,3165.5049505541565
2024-02-12,Email Referral,701,210,55,7378.961600063888,0.0
2024-02-12,Direct,377,48,11,1291.2950643462061,0.0
2024-02-13,Organic Search,1025,109,19,2153.6768566609503,0.0
2024-02-13,Paid Ads,2596,509,47,6364.652995280331,4557.329900648139
2024-02-13,Social Media,1891,134,17,2339.8091436239947,1395.3833811638035
2024-02-13,Email Referral,462,149,40,5664.268355915484,0.0
2024-02-13,Direct,774,97,17,1943.9824131986757,0.0
2024-02-14,Organic Search,1238,130,21,2765.7059882545923,0.0
2024-02-14,Paid Ads,2518,472,42,5798.158595254259,3303.3638676596684
2024-02-14,Social Media,1771,122,17,2496.6442141509838,2712.8684212921107
2024-02-14,Email Referral,527,135,39,4031.3336728641048,0.0
2024-02-14,Direct,628,82,15,2153.652604614282,0.0
2024-02-15,Organic Search,1393,165,32,4399.442930788679,0.0
2024-02-15,Paid Ads,2646,401,20,2488.643190404666,4380.747041279131
2024-02-15,Social Media,1642,115,14,2097.9871501103976,1870.6845474072015
2024-02-15,Email Referral,377,124,43,4477.119248074062,0.0
2024-02-15,Direct,873,117,26,2955.237385097672,0.0
2024-02-16,Organic Search,1330,128,23,2757.233557657213,0.0
2024-02-16,Paid Ads,2460,416,41,5932.903367542226,2078.532495738108
2024-02-16,Social Media,1424,108,13,1420.5915852070289,2567.3790867531848
2024-02-16,Email Referral,644,211,77,10629.942365130544,0.0
2024-02-16,Direct,758,77,18,2354.985283068664,0.0
2024-02-17,Organic Search,1264,141,24,2540.769826754873,0.0
2024-02-17,Paid Ads,2649,477,28,2889.892511905188,3636.9633655068633
2024-02-17,Social Media,1572,91,12,1473.1320894490807,813.4012331033013
2024-02-17,Email Referral,482,143,48,6467.9565267037015,0.0
2024-02-17,Direct,796,113,26,2651.5044729528645,0.0
2024-02-18,Organic Search,1006,90,17,1821.1212114662862,0.0
2024-02-18,Paid Ads,2480,458,37,4735.350064450791,1276.3475523993632
2024-02-18,Social Media,1862,98,11,1143.2181734352614,2039.606710431058
2024-02-18,Email Referral,295,77,25,3500.7333738863535,0.0
2024-02-18,Direct,825,86,19,2571.1519401625565,0.0
2024-02-19,Organic Search,1111,90,17,1744.1755911037517,0.0
2024-02-19,Paid Ads,3224,680,58,6784.405558374138,5552.4942500781335
2024-02-19,Social Media,1907,99,14,1972.1084389737457,2247.3564528645975
2024-02-19,Email Referral,540,174,45,5055.982276522829,0.0
2024-02-19,Direct,1227,132,31,3439.7816804049685,0.0
2024-02-20,Organic Search,1304,138,24,3066.436261125157,0.0
2024-02-20,Paid Ads,2270,454,27,4015.970768898157,3349.35896201132
2024-02-20,Social Media,1984,103,10,1231.3114783696583,3575.9789760953404
2024-02-20,Email Referral,397,128,46,5395.650482858015,0.0
2024-02-20,Direct,665,90,19,2729.7520761775772,0.0
2024-02-21,Organic Search,1600,185,31,3529.0830857143296,0.0
2024-02-21,Paid Ads,2820,464,37,5056.25909146827,1966.531308088309
2024-02-21,Social Media,1853,132,19,2125.6661586776836,3626.4926638887373
2024-02-21,Email Referral,532,159,45,5501.9368237559975,0.0
2024-02-21,Direct,856,107,21,2722.598394006674,0.0
2024-02-22,Organic Search,1127,133,21,2789.5734977683564,0.0
2024-02-22,Paid Ads,2052,354,31,4603.222619871744,2422.7642083788414
2024-02-22,Social Media,1823,109,15,1686.5357044407224,2599.0829658687203
2024-02-22,Email Referral,371,118,32,3258.6742830936687,0.0
2024-02-22,Direct,1027,127,30,4208.50522942508,0.0
2024-02-23,Organic Search,1444,149,28,3088.1776940514756,0.0
2024-02-23,Paid Ads,2369,364,27,2753.113779902488,1618.4175794346302
2024-02-23,Social Media,1634,103,15,1880.4261065162946,918.895077532511
2024-02-23,Email Referral,513,172,54,6719.885766693685,0.0
2024-02-23,Direct,967,128,24,2435.9683078472135,0.0
2024-02-24,Organic Search,1421,125,22,3266.9032507179973,0.0
2024-02-24,Paid Ads,2084,326,27,3871.9920434096325,1595.7702418125284
2024-02-24,Social Media,2061,161,21,2748.739602211275,3716.7197595159573
2024-02-24,Email Referral,549,168,42,5648.006177166279,0.0
2024-02-24,Direct,738,98,20,2651.2329770414917,0.0
2024-02-25,Organic Search,1333,112,20,2999.4137257706666,0.0
2024-02-25,Paid Ads,2902,594,46,6620.5857909931,3210.2228201469466
2024-02-25,Social Media,1724,103,13,1795.4853376048002,2925.146095948429
2024-02-25,Email Referral,628,164,54,6276.38174073073,0.0
2024-02-25,Direct,860,101,20,2695.467206689862,0.0
2024-02-26,Organic Search,1001,89,15,1670.4522204473637,0.0
2024-02-26,Paid Ads,1638,254,20,2619.4903460096148,1957.8048656180063
2024-02-26,Social Media,2094,137,16,1872.998262100925,2241.1944386063774
2024-02-26,Email Referral,467,135,45,5867.78645878525,0.0
2024-02-26,Direct,1001,136,33,3330.083761415997,0.0
2024-02-27,Organic Search,1315,115,17,2250.3535070314124,0.0
2024-02-27,Paid Ads,2398,515,27,3174.6906277735065,1563.810719931832
2024-02-27,Social Media,1917,123,13,1499.7384772020862,3267.600969217824
2024-02-27,Email Referral,308,95,33,3982.35601751683,0.0
2024-02-27,Direct,959,101,19,2547.0619612667333,0.0
2024-02-28,Organic Search,1221,132,20,2567.312219628903,0.0
2024-02-28,Paid Ads,1966,330,32,4489.5880796402525,2605.618072818816
2024-02-28,Social Media,1837,144,18,2595.7858170135673,1546.9738116052833
2024-02-28,Email Referral,457,123,42,5963.708736020113,0.0
2024-02-28,Direct,858,95,22,2502.2866391029497,0.0
2024-02-29,Organic Search,1350,152,26,3467.814869078911,0.0
2024-02-29,Paid Ads,2595,471,37,5063.216428146738,4655.937624337017
2024-02-29,Social Media,1565,88,9,1188.8871751994695,2207.6532497184126
2024-02-29,Email Referral,346,100,33,4929.846108354564,0.0
2024-02-29,Direct,940,100,22,2644.7506449147213,0.0
2024-03-01,Organic Search,1535,165,32,3405.4308631266003,0.0
2024-03-01,Paid Ads,2278,358,30,3411.240999839709,1410.3759838353672
2024-03-01,Social Media,1625,92,10,1259.5298954541352,977.3056237560238
2024-03-01,Email Referral,398,131,37,5328.146311988698,0.0
2024-03-01,Direct,969,112,22,2936.435650718009,0.0
2024-03-02,Organic Search,1623,194,35,4476.1209803975435,0.0
2024-03-02,Paid Ads,2395,369,28,3045.4241193007233,3676.3425702732416
2024-03-02,Social Media,2318,129,16,1960.296749006548,3788.1798945687706
2024-03-02,Email Referral,631,207,80,9597.263663237232,0.0
2024-03-02,Direct,717,77,19,2780.6509195280805,0.0
2024-03-03,Organic Search,1442,145,26,2715.8617617508216,0.0
2024-03-03,Paid Ads,2556,518,29,4033.94072712206,3995.3271711465713
2024-03-03,Social Media,1564,82,12,1383.3145863948141,1713.3186390562691
2024-03-03,Email Referral,366,107,36,5254.905551785951,0.0
2024-03-03,Direct,937,133,25,3663.2440183048957,0.0
2024-03-04,Organic Search,1199,101,19,2261.592128802751,0.0
2024-03-04,Paid Ads,2727,467,25,2716.905643733136,4206.197429155519
2024-03-04,Social Media,1979,119,17,2399.108479089207,1382.899491034177
2024-03-04,Email Referral,746,243,67,8035.521143037249,0.0
2024-03-04,Direct,854,91,18,1861.3550784469442,0.0
2024-03-05,Organic Search,1211,143,24,2774.1793597023116,0.0
2024-03-05,Paid Ads,2711,502,36,4753.487366442371,2234.019269175287
2024-03-05,Social Media,2259,123,12,1475.8802542615922,1326.5880210703049
2024-03-05,Email Referral,621,217,56,8354.30099073756,0.0
2024-03-05,Direct,815,86,17,1785.8889393590496,0.0
2024-03-06,Organic Search,1117,120,18,2258.479915334811,0.0
2024-03-06,Paid Ads,1886,365,27,2876.4590085992695,3451.2033249152805
2024-03-06,Social Media,2073,131,14,1689.8908267702489,3609.7290862651953
2024-03-06,Email Referral,587,147,45,4543.182622851878,0.0
2024-03-06,Direct,1014,114,26,2778.2426174476986,0.0
2024-03-07,Organic Search,904,72,11,1636.7305652005296,0.0
2024-03-07,Paid Ads,2573,530,51,5379.827306627634,3401.3496476939677
2024-03-07,Social Media,2158,114,14,1627.273148823042,3465.824859504308
2024-03-07,Email Referral,484,144,44,5410.782890493171,0.0
2024-03-07,Direct,942,139,32,3704.65103319682,0.0
2024-03-08,Organic Search,1241,133,22,2480.1376842506565,0.0
2024-03-08,Paid Ads,2464,479,39,5141.505880226055,3501.098529273188
2024-03-08,Social Media,2076,107,13,1779.3319496689658,2633.0590614106686
2024-03-08,Email Referral,477,123,43,4453.201964695306,0.0
2024-03-08,Direct,913,91,22,3011.2591954049076,0.0
2024-03-09,Organic Search,930,87,16,2129.0964888563312,0.0
2024-03-09,Paid Ads,2111,344,20,2660.302719701338,3475.8860349251268
2024-03-09,Social Media,2098,144,17,1803.1784554354954,2984.4458104183136
2024-03-09,Email Referral,424,138,47,4798.5853750643455,0.0
2024-03-09,Direct,1118,153,36,4781.661493196704,0.0
2024-03-10,Organic Search,1559,132,22,3220.8920043586545,0.0
2024-03-10,Paid Ads,2262,407,29,4267.4599647298255,1947.6703712476892
2024-03-10,Social Media,1415,75,8,1058.3243250620824,1314.3371601601175
2024-03-10,Email Referral,530,177,68,9367.142557737347,0.0
2024-03-10,Direct,939,115,27,3683.4624141681775,0.0
2024-03-11,Organic Search,1332,116,20,2984.6697395245083,0.0
2024-03-11,Paid Ads,2969,640,33,3517.352476200027,4717.651529119513
2024-03-11,Social Media,1641,106,15,1906.6779041188863,2273.6408400642695
2024-03-11,Email Referral,558,167,49,6587.7689900227215,0.0
2024-03-11,Direct,949,131,25,3076.946843024737,0.0
2024-03-12,Organic Search,1380,110,17,2317.492457846054,0.0
2024-03-12,Paid Ads,3015,495,38,4970.372355494341,2357.8418622982194
2024-03-12,Social Media,1673,101,14,1403.660729480039,2746.2063122905015
2024-03-12,Email Referral,355,94,27,4045.051355796784,0.0
2024-03-12,Direct,734,86,18,2449.8638443824634,0.0
2024-03-13,Organic Search,1244,119,20,2695.6181464968067,0.0
2024-03-13,Paid Ads,2873,431,34,4750.135463171043,1837.2431623177881
2024-03-13,Social Media,1634,113,11,1408.8165233777381,2191.177891414035
2024-03-13,Email Referral,755,234,82,9306.26495252568,0.0
2024-03-13,Direct,898,93,17,1984.1025708916518,0.0
2024-03-14,Organic Search,1462,162,30,4182.922447008609,0.0
2024-03-14,Paid Ads,1390,222,14,1462.020300775732,1154.9759214028757
2024-03-14,Social Media,2040,138,18,2639.801998209202,2986.249510577686
2024-03-14,Email Referral,686,225,60,8519.406856906851,0.0
2024-03-14,Direct,738,87,19,2458.3808928190883,0.0
2024-03-15,Organic Search,1102,102,15,1518.1438229185164,0.0
2024-03-15,Paid Ads,2052,427,27,3103.2795243448436,3921.4107164650177
2024-03-15,Social Media,1660,126,17,2382.2468133263537,1970.885347977353
2024-03-15,Email Referral,340,101,27,3682.7180644145833,0.0
2024-03-15,Direct,469,64,14,1511.2357173685475,0.0
2024-03-16,Organic Search,1167,121,18,2476.2375774261413,0.0
2024-03-16,Paid Ads,2641,408,21,2374.790967922701,2298.906512523727
2024-03-16,Social Media,1836,141,15,2069.548696813473,2156.583526108787
2024-03-16,Email Referral,447,114,44,5571.325501005478,0.0
2024-03-16,Direct,897,108,22,3189.8166802559995,0.0
2024-03-17,Organic Search,1213,142,21,2539.7329850278693,0.0
2024-03-17,Paid Ads,2706,455,39,4400.233621766283,4008.2947073832684
2024-03-17,Social Media,1888,120,17,1997.080416273796,1267.1192628026274
2024-03-17,Email Referral,364,96,27,3848.331678085536,0.0
2024-03-17,Direct,1052,111,26,3539.6585941710287,0.0
2024-03-18,Organic Search,1732,143,26,3306.59968254544,0.0
2024-03-18,Paid Ads,2466,453,26,3704.96798292486,3707.713625780372
2024-03-18,Social Media,1551,99,11,1399.987528173798,920.3783808342068
2024-03-18,Email Referral,639,189,48,5283.273077126338,0.0
2024-03-18,Direct,908,102,19,2213.704311627923,0.0
2024-03-19,Organic Search,1224,107,20,2879.5818549515293,0.0
2024-03-19,Paid Ads,3149,664,41,6119.228795088794,5221.100931850239
2024-03-19,Social Media,2064,136,16,2125.424083779435,3577.2313852182983
2024-03-19,Email Referral,492,141,51,5619.604470775607,0.0
2024-03-19,Direct,625,87,19,2502.8532966727885,0.0
2024-03-20,Organic Search,1240,138,23,3352.3535786681,0.0
2024-03-20,Paid Ads,2012,399,35,5000.063699747818,3740.740342883083
2024-03-20,Social Media,1835,106,15,1651.5117513018674,1424.578870002667
2024-03-20,Email Referral,529,140,44,4583.6209869766435,0.0
2024-03-20,Direct,1014,146,34,4258.851515080285,0.0
2024-03-21,Organic Search,1184,141,25,3293.3390915674267,0.0
2024-03-21,Paid Ads,2680,433,40,4324.466811564958,1390.6822303025515
2024-03-21,Social Media,2156,154,22,3004.6461393743984,1684.0902272115807
2024-03-21,Email Referral,758,254,94,12738.141153529563,0.0
2024-03-21,Direct,854,120,25,2947.247831656802,0.0
2024-03-22,Organic Search,808,80,15,1751.4060355281545,0.0
2024-03-22,Paid Ads,2718,564,31,3320.0565841295406,2777.557135020493
2024-03-22,Social Media,1548,98,13,1703.6035688609804,1592.2146260276174
2024-03-22,Email Referral,489,170,58,7760.914930018758,0.0
2024-03-22,Direct,1083,125,28,2897.497607427368,0.0
2024-03-23,Organic Search,1256,111,21,2393.2398928771313,0.0
2024-03-23,Paid Ads,2396,467,39,4495.355819558626,1962.2438886777195
2024-03-23,Social Media,1954,148,20,2664.984903475995,1739.900779525955
2024-03-23,Email Referral,517,176,61,6438.517881101117,0.0
2024-03-23,Direct,644,92,20,2380.4005489704095,0.0
